# Angular measurement - Y = -320.00 
# time [s]	ch1 [V]	ch2 [V]
# 
-0.008192	-4.231042258261326	0.003094370895782128
-0.008191	-4.834111399004954	0.00682054458713909
-0.00819	-5.102142128224344	0.003094370895782128
-0.008189	-5.038857094936432	0.003094370895782128
-0.008187999999999999	-4.647978948158155	-0.004357976486931796
-0.008187	-3.9481209329741915	-0.0006318027955748338
-0.008185999999999999	-2.98767748660471	-0.015536497561002682
-0.008185	-1.8559921854561738	-0.026715018635073567
-0.008184	-0.5679556255963266	-0.019262671252359642
-0.008183	0.7498621263990083	-0.05652440816592926
-0.008182	1.9932268980556238	-0.07142910293135711
-0.008180999999999999	3.121189550187224	-0.07142910293135711
-0.00818	4.040683857370409	-0.04161971340050141
-0.008178999999999999	4.6958700843511405	-0.07142910293135711
-0.008178	5.03835379390925	-0.060250581857286226
-0.008177	5.049521740960058	-0.05652440816592926
-0.008176	4.725651276486628	-0.045345887091858376
-0.008175	4.085355645573641	-0.045345887091858376
-0.008173999999999999	3.1658613383904557	-0.030441192326430527
-0.008173	2.0453439842927272	-0.019262671252359642
-0.008172	0.7833659675514321	-0.019262671252359642
-0.008171	-0.5195611883761589	-0.008084150178288757
-0.00817	-1.7852618541343903	-0.015536497561002682
-0.008169	-2.9355604003676063	-0.004357976486931796
-0.008168	-3.9146170918217678	0.014272891969853013
-0.008166999999999999	-4.610752457988795	0.00682054458713909
-0.008166	-5.038857094936432	0.010546718278496053
-0.008165	-5.10586477724128	-0.008084150178288757
-0.008164	-4.8490019950726975	0.00682054458713909
-0.008163	-4.2571008013798775	-0.0006318027955748338
-0.008161999999999999	-3.426950070603155	-0.019262671252359642
-0.008161	-2.3473818556917223	-0.04161971340050141
-0.008159999999999999	-1.104017084035107	-0.045345887091858376
-0.008159	0.1951874228755481	-0.06770292924000015
-0.008158	1.4981145788031391	-0.05652440816592926
-0.008157	2.681916966188779	-0.07142910293135711
-0.008156	3.6982001478123	-0.06397675554864318
-0.008154999999999999	4.472511143334982	-0.05652440816592926
-0.008154	4.937842270451979	-0.05652440816592926
-0.008152999999999999	5.086748231129418	-0.0527982344745723
-0.008152	4.896893131265683	-0.060250581857286226
-0.008151	4.390612864962391	-0.04161971340050141
-0.00815	3.556739485168733	-0.045345887091858376
-0.008149	2.525565707477468	-0.0527982344745723
-0.008147999999999999	1.3157047769732764	-0.019262671252359642
-0.008147	0.020222919079557308	-0.019262671252359642
-0.008146	-1.2901495348819056	0.003094370895782128
-0.008145	-2.4962878163691613	0.003094370895782128
-0.008144	-3.5423521901281703	-0.008084150178288757
-0.008143	-4.361334973854085	0.021725239352566938
-0.008142	-4.927177624428353	0.010546718278496053
-0.008140999999999999	-5.113310075275152	-0.0006318027955748338
-0.00814	-4.9904626577162645	-0.0006318027955748338
-0.008139	-4.5437447756839475	-0.004357976486931796
-0.008138	-3.7992149722967525	-0.01181032386964572
-0.008137	-2.8052676847748472	-0.03416736601778749
-0.008136	-1.6289105954230794	-0.0527982344745723
-0.008135	-0.33342873752936025	-0.037893539709144455
-0.008133999999999999	0.9657757693812948	-0.060250581857286226
-0.008133	2.20914054103791	-0.060250581857286226
-0.008132	3.3147672990678947	-0.060250581857286226
-0.008131	4.170976572963168	-0.0527982344745723
-0.00813	4.781491011740668	-0.06397675554864318
-0.008128999999999999	5.079302933095546	-0.06770292924000015
-0.008128	5.016017899807634	-0.060250581857286226
-0.008126999999999999	4.602803858927741	-0.0527982344745723
-0.008126	3.9290043868623306	-0.04161971340050141
-0.008125	2.972283589509785	-0.019262671252359642
-0.008124	1.825707692293505	-0.008084150178288757
-0.008123	0.5525617285014016	-0.022988844943716606
-0.008121999999999999	-0.7503654274261894	0.00682054458713909
-0.008121	-2.0048981461336126	0.00682054458713909
-0.00812	-3.136583447282149	0.014272891969853013
-0.008119	-4.070968350533079	0.010546718278496053
-0.008118	-4.714986630463002	0.00682054458713909
-0.008117	-5.06863828707192	-0.004357976486931796
-0.008116	-5.094696830190472	0.003094370895782128
-0.008114999999999999	-4.76338106768317	-0.0006318027955748338
-0.008114	-4.13425338382099	-0.01181032386964572
-0.008113	-3.2222043746716764	-0.008084150178288757
-0.008112	-2.1463588087771797	-0.045345887091858376
-0.008111	-0.8769354940020125	-0.04161971340050141
-0.00811	0.4557728540610663	-0.04907206078321534
-0.008109	1.7140282217854257	-0.060250581857286226
-0.008107999999999999	2.8754947150694496	-0.07515527662271407
-0.008107	3.839660810455867	-0.06397675554864318
-0.008106	4.584190613843061	-0.07515527662271407
-0.008105	4.971346111604403	-0.060250581857286226
-0.008104	5.079302933095546	-0.060250581857286226
-0.008102999999999999	4.80754955485922	-0.04161971340050141
-0.008102	4.23426160625108	-0.0527982344745723
-0.008100999999999999	3.385497630389678	-0.030441192326430527
-0.0081	2.3245426605629254	-0.022988844943716606
-0.008099	1.077455239889374	-0.01181032386964572
-0.008098	-0.22174926702128103	-0.015536497561002682
-0.008097	-1.5135084758980641	0.003094370895782128
-0.008095999999999999	-2.697310863283704	0.003094370895782128
-0.008095	-3.702426097856417	-0.008084150178288757
-0.008094	-4.499072987480716	0.014272891969853013
-0.008093	-4.979294710665457	0.003094370895782128
-0.008092	-5.120755373309024	-0.0006318027955748338
-0.008091	-4.942068220496097	-0.01181032386964572
-0.00809	-4.424620007141996	-0.004357976486931796
-0.008088999999999999	-3.6354184155515696	-0.015536497561002682
-0.008088	-2.5856313927756247	-0.019262671252359642
-0.008087	-1.394383707356113	-0.05652440816592926
-0.008086	-0.09145655142852192	-0.04907206078321534
-0.008085	1.226361200566813	-0.06397675554864318
-0.008084	2.4213315350032607	-0.05652440816592926
-0.008083	3.4860091538469495	-0.06397675554864318
-0.008081999999999999	4.312437235606735	-0.06397675554864318
-0.008081	4.8522213430624515	-0.060250581857286226
-0.00808	5.064412337027802	-0.0527982344745723
-0.008079	4.956455515536659	-0.07142910293135711
-0.008078	4.52090558055515	-0.04161971340050141
-0.008076999999999999	3.7800984261848916	-0.030441192326430527
-0.008076	2.7861511386629862	-0.03416736601778749
-0.008074999999999999	1.6023487512773464	-0.004357976486931796
-0.008074	0.3254801384683072	0.00682054458713909
-0.008073	-0.9886149645100918	-0.022988844943716606
-0.008072	-2.213366491082027	-0.004357976486931796
-0.008071	-3.3301611961628197	0.003094370895782128
-0.008069999999999999	-4.19009311907503	-0.0006318027955748338
-0.008069	-4.80060755785253	0.00682054458713909
-0.008067999999999999	-5.076083585105792	-0.008084150178288757
-0.008067	-5.046302392970304	-0.015536497561002682
-0.008066	-4.681482789310579	-0.015536497561002682
-0.008065	-3.9853474231435513	-0.022988844943716606
-0.008064	-3.0472398708756856	-0.0006318027955748338
-0.008062999999999999	-1.9081092716932775	-0.026715018635073567
-0.008062	-0.6349633079011742	-0.04161971340050141
-0.008061	0.649350602941737	-0.06397675554864318
-0.00806	1.9336645137846482	-0.07515527662271407
