# Distance Measurement - X = 16500
# time [s]	ch1 [V]	ch2 [V]
# 
-0.04096	-0.017003571089802435	0.003094370895782128
-0.040955000000000005	-0.024448869123674385	-0.019262671252359642
-0.04095	-0.02072622010673841	-0.008084150178288757
-0.040945	-0.009558273055930487	-0.019262671252359642
-0.040940000000000004	-0.03933946519141828	-0.015536497561002682
-0.040935000000000006	-0.02072622010673841	-0.015536497561002682
-0.04093	-0.02817151814061036	-0.019262671252359642
-0.040925	-0.035616816174482306	-0.015536497561002682
-0.040920000000000005	-0.009558273055930487	-0.01181032386964572
-0.040915	-0.017003571089802435	-0.015536497561002682
-0.04091	-0.02817151814061036	-0.015536497561002682
-0.040905000000000004	-0.02817151814061036	-0.008084150178288757
-0.040900000000000006	-0.02072622010673841	-0.019262671252359642
-0.040895	-0.02072622010673841	-0.019262671252359642
-0.04089	-0.024448869123674385	-0.01181032386964572
-0.040885000000000005	-0.024448869123674385	-0.0006318027955748338
-0.04088000000000001	-0.017003571089802435	0.003094370895782128
-0.040875	-0.024448869123674385	0.00682054458713909
-0.040870000000000004	0.0016096739948774363	-0.0006318027955748338
-0.040865000000000005	-0.009558273055930487	-0.0006318027955748338
-0.04086	-0.02072622010673841	0.010546718278496053
-0.040855	-0.02072622010673841	-0.015536497561002682
-0.040850000000000004	-0.017003571089802435	-0.01181032386964572
-0.040845000000000006	-0.03189416715754633	0.003094370895782128
-0.04084	-0.02817151814061036	-0.0006318027955748338
-0.040835	-0.03189416715754633	-0.008084150178288757
-0.040830000000000005	-0.017003571089802435	-0.01181032386964572
-0.040825	-0.024448869123674385	-0.008084150178288757
-0.04082	-0.02817151814061036	-0.019262671252359642
-0.040815000000000004	-0.03189416715754633	-0.01181032386964572
-0.040810000000000006	-0.024448869123674385	-0.004357976486931796
-0.040805	-0.013280922072866462	0.003094370895782128
-0.0408	-0.024448869123674385	0.00682054458713909
-0.040795000000000005	-0.02817151814061036	-0.008084150178288757
-0.04079	-0.005835624038994513	-0.019262671252359642
-0.040785	-0.024448869123674385	-0.01181032386964572
-0.040780000000000004	-0.04678476322529023	-0.008084150178288757
-0.040775000000000006	-0.02817151814061036	-0.004357976486931796
-0.04077	-0.035616816174482306	0.003094370895782128
-0.040765	-0.024448869123674385	-0.004357976486931796
-0.040760000000000005	-0.02817151814061036	-0.015536497561002682
-0.040755000000000006	-0.03933946519141828	-0.015536497561002682
-0.04075	-0.02072622010673841	0.010546718278496053
-0.040745	-0.02817151814061036	-0.004357976486931796
-0.040740000000000005	-0.017003571089802435	-0.008084150178288757
-0.040735	-0.013280922072866462	0.00682054458713909
-0.04073	-0.05423006125916218	-0.04161971340050141
-0.040725000000000004	-0.03189416715754633	-0.01181032386964572
-0.040720000000000006	-0.024448869123674385	-0.022988844943716606
-0.040715	-0.02817151814061036	-0.008084150178288757
-0.04071	-0.035616816174482306	-0.004357976486931796
-0.040705000000000005	-0.02817151814061036	-0.004357976486931796
-0.0407	-0.017003571089802435	-0.019262671252359642
-0.040695	-0.005835624038994513	-0.008084150178288757
-0.040690000000000004	-0.02072622010673841	-0.037893539709144455
-0.040685000000000006	-0.024448869123674385	-0.008084150178288757
-0.04068	-0.03189416715754633	-0.004357976486931796
-0.040675	-0.03189416715754633	-0.004357976486931796
-0.040670000000000005	-0.009558273055930487	-0.01181032386964572
-0.04066500000000001	-0.024448869123674385	-0.022988844943716606
-0.04066	-0.02072622010673841	-0.004357976486931796
-0.040655000000000004	-0.035616816174482306	-0.019262671252359642
-0.040650000000000006	-0.02817151814061036	-0.008084150178288757
-0.040645	-0.009558273055930487	-0.01181032386964572
-0.04064	-0.02817151814061036	-0.01181032386964572
-0.040635000000000004	-0.035616816174482306	-0.0006318027955748338
-0.040630000000000006	-0.009558273055930487	-0.008084150178288757
-0.040625	-0.03189416715754633	-0.01181032386964572
-0.04062	-0.035616816174482306	-0.008084150178288757
-0.040615000000000005	-0.035616816174482306	0.003094370895782128
-0.04061	-0.017003571089802435	-0.008084150178288757
-0.040605	-0.02817151814061036	0.003094370895782128
-0.040600000000000004	-0.02817151814061036	-0.008084150178288757
-0.040595000000000006	-0.02072622010673841	-0.0006318027955748338
-0.04059	-0.03189416715754633	-0.01181032386964572
-0.040585	-0.02072622010673841	-0.01181032386964572
-0.040580000000000005	-0.035616816174482306	-0.004357976486931796
-0.040575	-0.035616816174482306	-0.004357976486931796
-0.04057	-0.024448869123674385	-0.01181032386964572
-0.040565000000000004	-0.04678476322529023	-0.008084150178288757
-0.040560000000000006	-0.024448869123674385	-0.008084150178288757
-0.040555	-0.024448869123674385	-0.01181032386964572
-0.04055	-0.03189416715754633	-0.01181032386964572
-0.040545000000000005	-0.024448869123674385	-0.022988844943716606
-0.04054000000000001	-0.024448869123674385	-0.015536497561002682
-0.040535	0.009054972028749386	-0.0006318027955748338
-0.040530000000000004	-0.005835624038994513	-0.030441192326430527
-0.040525000000000005	-0.03189416715754633	0.017999065661209977
-0.04052	-0.02072622010673841	-0.019262671252359642
-0.040515	-0.03933946519141828	-0.022988844943716606
-0.040510000000000004	-0.02817151814061036	0.017999065661209977
-0.040505000000000006	-0.03189416715754633	0.003094370895782128
-0.0405	-0.024448869123674385	-0.022988844943716606
-0.040495	-0.024448869123674385	-0.008084150178288757
-0.040490000000000005	-0.02817151814061036	-0.022988844943716606
-0.040485	-0.02072622010673841	0.014272891969853013
-0.04048	-0.024448869123674385	-0.019262671252359642
-0.040475000000000004	-0.009558273055930487	-0.008084150178288757
-0.040470000000000006	-0.03189416715754633	-0.004357976486931796
-0.040465	-0.013280922072866462	-0.015536497561002682
-0.04046	-0.013280922072866462	-0.008084150178288757
-0.040455000000000005	-0.035616816174482306	-0.01181032386964572
-0.04045	-0.035616816174482306	-0.004357976486931796
-0.040445	-0.02072622010673841	-0.004357976486931796
-0.040440000000000004	-0.03189416715754633	-0.008084150178288757
-0.040435000000000006	-0.03933946519141828	-0.01181032386964572
-0.04043	-0.024448869123674385	-0.015536497561002682
-0.040425	-0.02817151814061036	-0.008084150178288757
-0.040420000000000005	-0.03189416715754633	-0.026715018635073567
-0.040415000000000006	-0.024448869123674385	-0.008084150178288757
-0.04041	-0.035616816174482306	-0.01181032386964572
-0.040405	-0.03189416715754633	-0.008084150178288757
-0.040400000000000005	-0.017003571089802435	-0.019262671252359642
-0.040395	-0.013280922072866462	-0.019262671252359642
-0.04039	-0.017003571089802435	-0.019262671252359642
-0.040385000000000004	-0.02817151814061036	-0.015536497561002682
-0.040380000000000006	-0.024448869123674385	-0.026715018635073567
-0.040375	-0.017003571089802435	-0.004357976486931796
-0.04037	-0.009558273055930487	-0.0006318027955748338
-0.040365000000000005	-0.009558273055930487	-0.008084150178288757
-0.04036	-0.02817151814061036	0.003094370895782128
-0.040355	-0.009558273055930487	0.003094370895782128
-0.040350000000000004	-0.024448869123674385	-0.022988844943716606
-0.040345000000000006	-0.024448869123674385	-0.008084150178288757
-0.04034	-0.013280922072866462	-0.0006318027955748338
-0.040335	-0.024448869123674385	-0.019262671252359642
-0.040330000000000005	-0.017003571089802435	-0.030441192326430527
-0.04032500000000001	-0.024448869123674385	-0.0006318027955748338
-0.04032	-0.017003571089802435	-0.0006318027955748338
-0.040315000000000004	-0.02817151814061036	-0.019262671252359642
-0.040310000000000006	-0.002112975022058538	-0.026715018635073567
-0.040305	-0.02072622010673841	-0.015536497561002682
-0.0403	-0.017003571089802435	-0.019262671252359642
-0.040295000000000004	-0.03189416715754633	-0.0006318027955748338
-0.040290000000000006	-0.024448869123674385	-0.01181032386964572
-0.040285	-0.02072622010673841	-0.015536497561002682
-0.04028	-0.002112975022058538	-0.019262671252359642
-0.040275000000000005	-0.043062114208354256	-0.0006318027955748338
-0.04027	-0.02817151814061036	-0.026715018635073567
-0.040265	-0.02817151814061036	-0.03416736601778749
-0.040260000000000004	-0.024448869123674385	-0.019262671252359642
-0.040255000000000006	-0.024448869123674385	-0.015536497561002682
-0.04025	-0.02072622010673841	-0.01181032386964572
-0.040245	-0.024448869123674385	-0.01181032386964572
-0.040240000000000005	-0.02817151814061036	-0.015536497561002682
-0.040235	-0.024448869123674385	-0.004357976486931796
-0.04023	-0.013280922072866462	-0.015536497561002682
-0.040225000000000004	-0.02072622010673841	-0.015536497561002682
-0.040220000000000006	-0.02817151814061036	-0.0006318027955748338
-0.040215	-0.03933946519141828	-0.03416736601778749
-0.04021	-0.03933946519141828	-0.015536497561002682
-0.040205000000000005	-0.02072622010673841	-0.008084150178288757
-0.04020000000000001	-0.03189416715754633	-0.004357976486931796
-0.040195	-0.03189416715754633	-0.019262671252359642
-0.040190000000000003	-0.03189416715754633	-0.008084150178288757
-0.040185000000000005	-0.02817151814061036	-0.004357976486931796
-0.04018	-0.03189416715754633	-0.019262671252359642
-0.040175	-0.024448869123674385	-0.008084150178288757
-0.040170000000000004	-0.02817151814061036	-0.015536497561002682
-0.040165000000000006	-0.02817151814061036	-0.008084150178288757
-0.04016	-0.024448869123674385	-0.01181032386964572
-0.040155	-0.03189416715754633	-0.008084150178288757
-0.040150000000000005	-0.009558273055930487	-0.019262671252359642
-0.040145	-0.035616816174482306	-0.01181032386964572
-0.04014	-0.005835624038994513	-0.01181032386964572
-0.040135000000000004	-0.017003571089802435	-0.026715018635073567
-0.040130000000000006	-0.017003571089802435	-0.015536497561002682
-0.040125	-0.009558273055930487	-0.030441192326430527
-0.04012	-0.017003571089802435	-0.008084150178288757
-0.040115000000000005	-0.02072622010673841	-0.022988844943716606
-0.04011	-0.017003571089802435	-0.015536497561002682
-0.040105	-0.024448869123674385	-0.01181032386964572
-0.040100000000000004	-0.03933946519141828	-0.008084150178288757
-0.040095000000000006	-0.035616816174482306	-0.015536497561002682
-0.04009	-0.013280922072866462	-0.0006318027955748338
-0.040085	-0.024448869123674385	-0.019262671252359642
-0.040080000000000005	-0.017003571089802435	-0.008084150178288757
-0.040075000000000006	-0.017003571089802435	0.00682054458713909
-0.04007	-0.013280922072866462	-0.004357976486931796
-0.040065	-0.017003571089802435	-0.004357976486931796
-0.040060000000000005	-0.02072622010673841	-0.004357976486931796
-0.040055	-0.013280922072866462	0.003094370895782128
-0.04005	0.020222919079557308	-0.0006318027955748338
-0.040045000000000004	-0.050507412242226206	-0.01181032386964572
-0.040040000000000006	-0.013280922072866462	0.003094370895782128
-0.040035	-0.03933946519141828	-0.008084150178288757
-0.04003	-0.024448869123674385	-0.015536497561002682
-0.040025000000000005	-0.002112975022058538	-0.015536497561002682
-0.04002	-0.009558273055930487	-0.019262671252359642
-0.040015	-0.02072622010673841	-0.01181032386964572
-0.040010000000000004	-0.03189416715754633	-0.008084150178288757
-0.040005000000000006	-0.005835624038994513	-0.004357976486931796
-0.04	-0.02817151814061036	-0.019262671252359642
-0.039995	5.105361476214098	-0.01181032386964572
-0.039990000000000005	5.090470880146354	-0.01181032386964572
-0.03998500000000001	5.083025582112482	-0.01181032386964572
-0.03998	5.07558028407861	-0.0006318027955748338
-0.039975000000000004	5.079302933095546	-0.008084150178288757
-0.039970000000000006	5.05696703899393	-0.019262671252359642
-0.039965	5.060689688010866	-0.022988844943716606
